video_time_s,video_frame,execution_phase,phase_alpha,original_step_begin,original_step_end,currently_at_goal,N
0.0,0,0,0.0,0,1,0,64
0.5,12,2,0.0,2,3,0,64
1.0,24,4,0.0,3,4,0,64
1.5,36,6,0.0,4,5,0,64
2.0,48,8,0.0,5,6,1,64
2.5,60,10,0.0,6,7,2,64
3.0,72,12,0.0,7,8,6,64
3.5,84,14,0.0,8,9,7,64
4.0,96,16,0.0,9,10,14,64
4.5,108,18,0.0,10,11,19,64
5.0,120,20,0.0,11,12,22,64
5.5,132,22,0.0,12,13,27,64
6.0,144,24,0.0,14,15,30,64
6.5,156,26,0.0,15,16,35,64
7.0,168,28,0.0,17,18,39,64
7.5,180,30,0.0,19,20,44,64
8.0,192,32,0.0,21,22,51,64
8.5,204,34,0.0,23,24,54,64
9.0,216,36,0.0,25,26,57,64
9.5,228,38,0.0,27,28,60,64
10.0,240,40,0.0,28,29,60,64
10.5,252,42,0.0,30,31,61,64
11.0,264,44,0.0,32,33,63,64
11.5,276,46,0.0,34,35,63,64
12.0,288,48,0.0,36,37,63,64
12.5,300,50,0.0,38,39,63,64
13.0,312,52,0.0,40,41,63,64
13.5,324,54,0.0,42,43,63,64
14.0,336,56,0.0,44,45,63,64
14.5,348,57,1.0,45,46,64,64
