video_seconds,source_frame,solver_step,current_at_goal,total_agents
0.0,0,0,0,100000
0.5,6,290,0,100000
1.0,12,590,0,100000
1.5,18,880,73454,100000
2.0,24,1170,84139,100000
2.5,30,1470,91161,100000
3.0,36,1760,94687,100000
3.5,42,2050,96280,100000
4.0,48,2350,97035,100000
4.5,54,2640,97533,100000
5.0,60,2930,97950,100000
5.5,66,3230,98292,100000
6.0,72,3520,98477,100000
6.5,78,3820,98548,100000
7.0,84,4110,98577,100000
7.5,90,4400,98587,100000
8.0,96,4700,98598,100000
8.5,102,4990,98636,100000
9.0,108,5280,98745,100000
9.5,114,5580,99081,100000
10.0,120,5870,99322,100000
10.5,126,6160,99387,100000
11.0,132,6460,99409,100000
11.5,138,6750,99430,100000
12.0,144,7040,99446,100000
12.5,150,7340,99457,100000
13.0,156,7630,99475,100000
13.5,162,7920,99485,100000
14.0,168,8220,99515,100000
14.5,174,8510,99549,100000
15.0,180,8800,99583,100000
15.5,186,9100,99590,100000
16.0,192,9390,99594,100000
16.5,198,9680,99608,100000
17.0,204,9980,99626,100000
17.5,210,10270,99631,100000
18.0,216,10570,99632,100000
18.5,222,10860,99636,100000
19.0,228,11150,99642,100000
19.5,234,11450,99653,100000
20.0,240,11740,99657,100000
20.5,246,12030,99658,100000
21.0,252,12330,99674,100000
21.5,258,12620,99682,100000
22.0,264,12910,99700,100000
22.5,270,13210,99709,100000
23.0,276,13500,99721,100000
23.5,282,13790,99735,100000
24.0,288,14090,99744,100000
24.5,294,14380,99752,100000
25.0,300,14670,99753,100000
25.5,306,14970,99757,100000
26.0,312,15260,99761,100000
26.5,318,15550,99761,100000
27.0,324,15850,99761,100000
27.5,330,16140,99761,100000
28.0,336,16430,99762,100000
28.5,342,16730,99762,100000
29.0,348,17020,99756,100000
29.5,354,17320,99903,100000
30.0,359,17558,100000,100000
