video_time_s,frame,retimed_phase,original_step,currently_at_goal,agents,view
0.0,0,0,56,17535,100000,aerial
0.5,30,1,56,18082,100000,aerial
1.0,60,2,56,18110,100000,aerial
1.5,90,4,57,18566,100000,aerial
2.0,120,5,57,18591,100000,aerial
2.5,150,7,58,19241,100000,aerial
3.0,180,8,58,19277,100000,obstacle_context
3.5,210,10,59,19684,100000,obstacle_context
4.0,240,11,59,19722,100000,obstacle_context
4.5,270,13,60,20142,100000,obstacle_context
5.0,300,14,61,17757,100000,obstacle_context
5.5,330,16,61,20798,100000,obstacle_context
6.0,360,17,62,18246,100000,obstacle_context
6.5,390,19,62,21288,100000,obstacle_context
7.0,420,20,63,18739,100000,obstacle_context
7.5,450,22,64,19201,100000,obstacle_context
8.0,480,23,64,22319,100000,obstacle_context
8.5,510,25,65,19677,100000,obstacle_context
9.0,540,26,65,22948,100000,obstacle_focus
9.5,570,28,66,20207,100000,obstacle_focus
10.0,600,29,66,23476,100000,obstacle_focus
10.5,630,31,66,23519,100000,obstacle_focus
11.0,660,32,67,20747,100000,obstacle_focus
11.5,690,34,67,24081,100000,obstacle_focus
12.0,720,35,68,21329,100000,obstacle_focus
12.5,750,37,68,24759,100000,obstacle_focus
13.0,780,38,69,21791,100000,obstacle_focus
13.5,810,39,69,25187,100000,obstacle_focus
14.0,840,41,70,22342,100000,obstacle_focus
14.5,870,42,70,25805,100000,obstacle_focus
15.0,900,44,71,22813,100000,obstacle_focus
15.5,930,45,71,26328,100000,obstacle_focus
16.0,960,47,72,23301,100000,obstacle_focus
16.5,990,48,72,26877,100000,obstacle_focus
17.0,1020,50,73,23848,100000,obstacle_focus
17.5,1050,51,73,27468,100000,obstacle_focus
18.0,1080,53,74,24369,100000,obstacle_focus
18.5,1110,54,74,28058,100000,obstacle_focus
19.0,1140,56,75,24892,100000,obstacle_focus
19.5,1170,57,75,28661,100000,obstacle_focus
20.0,1200,59,76,29192,100000,obstacle_focus
20.5,1230,60,76,29231,100000,obstacle_focus
21.0,1260,62,77,29840,100000,obstacle_focus
21.5,1290,63,77,29872,100000,obstacle_focus
22.0,1320,65,78,26557,100000,obstacle_focus
22.5,1350,66,78,30405,100000,obstacle_focus
23.0,1380,68,79,27228,100000,obstacle_focus
23.5,1410,69,79,31115,100000,obstacle_focus
