video_time_s,frame,retimed_phase,original_step,currently_at_goal,agents,view
0.0,0,0,56,9732,100000,aerial
0.5,30,1,56,9925,100000,aerial
1.0,60,3,57,9019,100000,aerial
1.5,90,5,57,10261,100000,aerial
2.0,120,6,57,10262,100000,aerial
2.5,150,8,58,10480,100000,aerial
3.0,180,10,58,10494,100000,obstacle_context
3.5,210,12,59,10680,100000,obstacle_context
4.0,240,13,59,10698,100000,obstacle_context
4.5,270,15,60,9694,100000,obstacle_context
5.0,300,17,60,11013,100000,obstacle_context
5.5,330,19,61,10002,100000,obstacle_context
6.0,360,20,61,11317,100000,obstacle_context
6.5,390,22,62,10292,100000,obstacle_context
7.0,420,24,62,11602,100000,obstacle_context
7.5,450,25,62,11602,100000,obstacle_context
8.0,480,27,63,11808,100000,obstacle_context
8.5,510,29,64,10740,100000,obstacle_context
9.0,540,31,64,12183,100000,obstacle_focus
9.5,570,32,65,11104,100000,obstacle_focus
10.0,600,34,65,12495,100000,obstacle_focus
10.5,630,36,66,12728,100000,obstacle_focus
11.0,660,38,66,12755,100000,obstacle_focus
11.5,690,39,67,11556,100000,obstacle_focus
12.0,720,41,67,12966,100000,obstacle_focus
12.5,750,43,68,13292,100000,obstacle_focus
13.0,780,44,68,13330,100000,obstacle_focus
13.5,810,46,69,13624,100000,obstacle_focus
14.0,840,48,69,13659,100000,obstacle_focus
14.5,870,50,70,12401,100000,obstacle_focus
15.0,900,51,70,13893,100000,obstacle_focus
15.5,930,53,71,12584,100000,obstacle_focus
16.0,960,55,71,14154,100000,obstacle_focus
16.5,990,57,72,12816,100000,obstacle_focus
17.0,1020,58,72,14456,100000,obstacle_focus
17.5,1050,60,72,14480,100000,obstacle_focus
18.0,1080,62,73,14718,100000,obstacle_focus
18.5,1110,64,74,13384,100000,obstacle_focus
19.0,1140,65,74,15054,100000,obstacle_focus
19.5,1170,67,75,13709,100000,obstacle_focus
20.0,1200,69,75,15385,100000,obstacle_focus
20.5,1230,70,76,13989,100000,obstacle_focus
21.0,1260,72,76,15700,100000,obstacle_focus
21.5,1290,74,77,15949,100000,obstacle_focus
22.0,1320,76,78,14492,100000,obstacle_focus
22.5,1350,77,78,16232,100000,obstacle_focus
23.0,1380,79,79,14813,100000,obstacle_focus
23.5,1410,81,79,16615,100000,obstacle_focus
