video_time_s,frame,retimed_phase,original_step,currently_at_goal,agents,view
0.0,0,0,56,13250,100000,aerial
0.5,30,1,56,13641,100000,aerial
1.0,60,2,57,12175,100000,aerial
1.5,90,3,57,14037,100000,aerial
2.0,120,4,57,14053,100000,aerial
2.5,150,5,58,12492,100000,aerial
3.0,180,7,58,14419,100000,obstacle_context
3.5,210,8,59,12831,100000,obstacle_context
4.0,240,9,59,14834,100000,obstacle_context
4.5,270,10,60,13256,100000,obstacle_context
5.0,300,11,60,15202,100000,obstacle_context
5.5,330,13,61,13586,100000,obstacle_context
6.0,360,14,61,15674,100000,obstacle_context
6.5,390,15,61,15700,100000,obstacle_context
7.0,420,16,62,13995,100000,obstacle_context
7.5,450,17,62,16070,100000,obstacle_context
8.0,480,19,63,14367,100000,obstacle_context
8.5,510,20,63,16515,100000,obstacle_context
9.0,540,21,64,14822,100000,obstacle_focus
9.5,570,22,64,17009,100000,obstacle_focus
10.0,600,23,64,17034,100000,obstacle_focus
10.5,630,24,65,15230,100000,obstacle_focus
11.0,660,26,66,15620,100000,obstacle_focus
11.5,690,27,66,17934,100000,obstacle_focus
12.0,720,28,67,16042,100000,obstacle_focus
12.5,750,29,67,18295,100000,obstacle_focus
13.0,780,30,67,18310,100000,obstacle_focus
13.5,810,32,68,18814,100000,obstacle_focus
14.0,840,33,69,16934,100000,obstacle_focus
14.5,870,34,69,19338,100000,obstacle_focus
15.0,900,35,70,17327,100000,obstacle_focus
15.5,930,36,70,19712,100000,obstacle_focus
16.0,960,38,71,20183,100000,obstacle_focus
16.5,990,39,72,18115,100000,obstacle_focus
17.0,1020,40,72,20620,100000,obstacle_focus
17.5,1050,41,73,18505,100000,obstacle_focus
18.0,1080,42,73,21117,100000,obstacle_focus
18.5,1110,43,73,21155,100000,obstacle_focus
19.0,1140,45,74,21627,100000,obstacle_focus
19.5,1170,46,74,21646,100000,obstacle_focus
20.0,1200,47,75,19440,100000,obstacle_focus
20.5,1230,48,75,22083,100000,obstacle_focus
21.0,1260,49,76,19867,100000,obstacle_focus
21.5,1290,51,77,20358,100000,obstacle_focus
22.0,1320,52,77,23073,100000,obstacle_focus
22.5,1350,53,78,20810,100000,obstacle_focus
23.0,1380,54,78,23519,100000,obstacle_focus
23.5,1410,55,79,21268,100000,obstacle_focus
