video_time_s,video_frame,execution_phase,phase_alpha,original_step_begin,original_step_end,currently_at_goal,N
0.0,0,0,0.0,0,1,0,64
0.5,12,2,0.0,2,3,0,64
1.0,24,4,0.0,3,4,0,64
1.5,36,6,0.0,4,5,0,64
2.0,48,8,0.0,5,6,0,64
2.5,60,10,0.0,6,7,0,64
3.0,72,12,0.0,8,9,9,64
3.5,84,14,0.0,9,10,15,64
4.0,96,16,0.0,10,11,19,64
4.5,108,18,0.0,11,12,21,64
5.0,120,20,0.0,12,13,25,64
5.5,132,22,0.0,14,15,27,64
6.0,144,24,0.0,15,16,29,64
6.5,156,26,0.0,16,17,30,64
7.0,168,28,0.0,17,18,35,64
7.5,180,30,0.0,19,20,41,64
8.0,192,32,0.0,21,22,45,64
8.5,204,34,0.0,23,24,51,64
9.0,216,36,0.0,25,26,57,64
9.5,228,38,0.0,27,28,59,64
10.0,240,40,0.0,29,30,61,64
10.5,252,42,0.0,31,32,62,64
11.0,264,44,0.0,33,34,63,64
11.5,276,46,0.0,35,36,63,64
11.75,282,46,1.0,35,36,64,64
