video_time_s,solver_step,currently_at_goal,total_agents
0.000000,0,0,1000000
0.033333,1,0,1000000
0.066667,2,0,1000000
0.100000,3,0,1000000
0.133333,4,0,1000000
0.166667,5,0,1000000
0.200000,6,0,1000000
0.233333,7,0,1000000
0.266667,8,0,1000000
0.300000,9,0,1000000
0.333333,10,0,1000000
0.366667,11,0,1000000
0.400000,12,0,1000000
0.433333,13,0,1000000
0.466667,14,0,1000000
0.500000,15,0,1000000
0.533333,16,0,1000000
0.566667,17,0,1000000
0.600000,18,0,1000000
0.633333,19,0,1000000
0.666667,20,0,1000000
0.700000,21,0,1000000
0.733333,22,0,1000000
0.766667,23,0,1000000
0.800000,24,0,1000000
0.833333,25,0,1000000
0.866667,26,0,1000000
0.900000,27,0,1000000
0.933333,28,0,1000000
0.966667,29,0,1000000
1.000000,30,0,1000000
1.033333,31,0,1000000
1.066667,32,0,1000000
1.100000,33,0,1000000
1.133333,34,0,1000000
1.166667,35,0,1000000
1.200000,36,0,1000000
1.233333,37,0,1000000
1.266667,38,0,1000000
1.300000,39,0,1000000
1.333333,40,0,1000000
1.366667,41,0,1000000
1.400000,42,0,1000000
1.433333,43,0,1000000
1.466667,44,0,1000000
1.500000,45,0,1000000
1.533333,46,0,1000000
1.566667,47,0,1000000
1.600000,48,0,1000000
1.633333,49,0,1000000
1.666667,50,0,1000000
1.700000,51,0,1000000
1.733333,52,0,1000000
1.766667,53,0,1000000
1.800000,54,0,1000000
1.833333,55,0,1000000
1.866667,56,0,1000000
1.900000,57,0,1000000
1.933333,58,0,1000000
1.966667,59,0,1000000
2.000000,60,0,1000000
2.033333,61,0,1000000
2.066667,62,0,1000000
2.100000,63,0,1000000
2.133333,64,0,1000000
2.166667,65,0,1000000
2.200000,66,0,1000000
2.233333,67,0,1000000
2.266667,68,0,1000000
2.300000,69,0,1000000
2.333333,70,0,1000000
2.366667,71,0,1000000
2.400000,72,0,1000000
2.433333,73,0,1000000
2.466667,74,0,1000000
2.500000,75,0,1000000
2.533333,76,0,1000000
2.566667,77,0,1000000
2.600000,78,0,1000000
2.633333,79,0,1000000
2.666667,80,0,1000000
2.700000,81,0,1000000
2.733333,82,0,1000000
2.766667,83,0,1000000
2.800000,84,0,1000000
2.833333,85,0,1000000
2.866667,86,0,1000000
2.900000,87,0,1000000
2.933333,88,0,1000000
2.966667,89,0,1000000
3.000000,90,0,1000000
3.033333,91,0,1000000
3.066667,92,0,1000000
3.100000,93,0,1000000
3.133333,94,0,1000000
3.166667,95,0,1000000
3.200000,96,0,1000000
3.233333,97,0,1000000
3.266667,98,0,1000000
3.300000,99,0,1000000
3.333333,100,0,1000000
3.366667,101,0,1000000
3.400000,102,0,1000000
3.433333,103,0,1000000
3.466667,104,0,1000000
3.500000,105,0,1000000
3.533333,106,0,1000000
3.566667,107,0,1000000
3.600000,108,0,1000000
3.633333,109,0,1000000
3.666667,110,0,1000000
3.700000,111,0,1000000
3.733333,112,0,1000000
3.766667,113,0,1000000
3.800000,114,0,1000000
3.833333,115,0,1000000
3.866667,116,0,1000000
3.900000,117,0,1000000
3.933333,118,0,1000000
3.966667,119,0,1000000
4.000000,120,0,1000000
4.033333,121,0,1000000
4.066667,122,0,1000000
4.100000,123,0,1000000
4.133333,124,0,1000000
4.166667,125,0,1000000
4.200000,126,0,1000000
4.233333,127,0,1000000
4.266667,128,0,1000000
4.300000,129,0,1000000
4.333333,130,0,1000000
4.366667,131,0,1000000
4.400000,132,0,1000000
4.433333,133,0,1000000
4.466667,134,0,1000000
4.500000,135,0,1000000
4.533333,136,0,1000000
4.566667,137,0,1000000
4.600000,138,0,1000000
4.633333,139,0,1000000
4.666667,140,0,1000000
4.700000,141,0,1000000
4.733333,142,0,1000000
4.766667,143,0,1000000
4.800000,144,0,1000000
4.833333,145,0,1000000
4.866667,146,0,1000000
4.900000,147,0,1000000
4.933333,148,0,1000000
4.966667,149,0,1000000
5.000000,150,0,1000000
5.033333,151,0,1000000
5.066667,152,0,1000000
5.100000,153,0,1000000
5.133333,154,0,1000000
5.166667,155,0,1000000
5.200000,156,0,1000000
5.233333,157,0,1000000
5.266667,158,0,1000000
5.300000,159,0,1000000
5.333333,160,0,1000000
5.366667,161,0,1000000
5.400000,162,0,1000000
5.433333,163,0,1000000
5.466667,164,0,1000000
5.500000,165,0,1000000
5.533333,166,0,1000000
5.566667,167,0,1000000
5.600000,168,0,1000000
5.633333,169,0,1000000
5.666667,170,0,1000000
5.700000,171,0,1000000
5.733333,172,0,1000000
5.766667,173,0,1000000
5.800000,174,0,1000000
5.833333,175,0,1000000
5.866667,176,0,1000000
5.900000,177,0,1000000
5.933333,178,0,1000000
5.966667,179,0,1000000
6.000000,180,0,1000000
6.033333,181,0,1000000
6.066667,182,0,1000000
6.100000,183,0,1000000
6.133333,184,0,1000000
6.166667,185,0,1000000
6.200000,186,0,1000000
6.233333,187,0,1000000
6.266667,188,0,1000000
6.300000,189,0,1000000
6.333333,190,0,1000000
6.366667,191,0,1000000
6.400000,192,0,1000000
6.433333,193,0,1000000
6.466667,194,0,1000000
6.500000,195,0,1000000
6.533333,196,0,1000000
6.566667,197,0,1000000
6.600000,198,0,1000000
6.633333,199,0,1000000
6.666667,200,0,1000000
6.700000,201,0,1000000
6.733333,202,0,1000000
6.766667,203,0,1000000
6.800000,204,0,1000000
6.833333,205,0,1000000
6.866667,206,0,1000000
6.900000,207,0,1000000
6.933333,208,0,1000000
6.966667,209,0,1000000
7.000000,210,0,1000000
7.033333,211,0,1000000
7.066667,212,0,1000000
7.100000,213,0,1000000
7.133333,214,0,1000000
7.166667,215,0,1000000
7.200000,216,0,1000000
7.233333,217,0,1000000
7.266667,218,0,1000000
7.300000,219,0,1000000
7.333333,220,0,1000000
7.366667,221,0,1000000
7.400000,222,0,1000000
7.433333,223,0,1000000
7.466667,224,0,1000000
7.500000,225,0,1000000
7.533333,226,0,1000000
7.566667,227,0,1000000
7.600000,228,0,1000000
7.633333,229,0,1000000
7.666667,230,0,1000000
7.700000,231,0,1000000
7.733333,232,0,1000000
7.766667,233,0,1000000
7.800000,234,0,1000000
7.833333,235,0,1000000
7.866667,236,0,1000000
7.900000,237,0,1000000
7.933333,238,0,1000000
7.966667,239,0,1000000
8.000000,240,0,1000000
8.033333,241,0,1000000
8.066667,242,0,1000000
8.100000,243,0,1000000
8.133333,244,0,1000000
8.166667,245,0,1000000
8.200000,246,0,1000000
8.233333,247,0,1000000
8.266667,248,0,1000000
8.300000,249,0,1000000
8.333333,250,0,1000000
8.366667,251,0,1000000
8.400000,252,0,1000000
8.433333,253,0,1000000
8.466667,254,0,1000000
8.500000,255,0,1000000
8.533333,256,0,1000000
8.566667,257,0,1000000
8.600000,258,0,1000000
8.633333,259,0,1000000
8.666667,260,0,1000000
8.700000,261,0,1000000
8.733333,262,0,1000000
8.766667,263,0,1000000
8.800000,264,0,1000000
8.833333,265,0,1000000
8.866667,266,0,1000000
8.900000,267,0,1000000
8.933333,268,0,1000000
8.966667,269,0,1000000
9.000000,270,0,1000000
9.033333,271,0,1000000
9.066667,272,0,1000000
9.100000,273,0,1000000
9.133333,274,0,1000000
9.166667,275,0,1000000
9.200000,276,0,1000000
9.233333,277,0,1000000
9.266667,278,0,1000000
9.300000,279,0,1000000
9.333333,280,0,1000000
9.366667,281,0,1000000
9.400000,282,0,1000000
9.433333,283,0,1000000
9.466667,284,0,1000000
9.500000,285,0,1000000
9.533333,286,0,1000000
9.566667,287,0,1000000
9.600000,288,0,1000000
9.633333,289,0,1000000
9.666667,290,0,1000000
9.700000,291,0,1000000
9.733333,292,0,1000000
9.766667,293,0,1000000
9.800000,294,0,1000000
9.833333,295,0,1000000
9.866667,296,0,1000000
9.900000,297,0,1000000
9.933333,298,0,1000000
9.966667,299,0,1000000
10.000000,300,0,1000000
10.033333,301,0,1000000
10.066667,302,0,1000000
10.100000,303,0,1000000
10.133333,304,0,1000000
10.166667,305,0,1000000
10.200000,306,0,1000000
10.233333,307,0,1000000
10.266667,308,0,1000000
10.300000,309,0,1000000
10.333333,310,0,1000000
10.366667,311,0,1000000
10.400000,312,0,1000000
10.433333,313,0,1000000
10.466667,314,0,1000000
10.500000,315,0,1000000
10.533333,316,0,1000000
10.566667,317,0,1000000
10.600000,318,0,1000000
10.633333,319,0,1000000
10.666667,320,0,1000000
10.700000,321,0,1000000
10.733333,322,0,1000000
10.766667,323,0,1000000
10.800000,324,0,1000000
10.833333,325,0,1000000
10.866667,326,0,1000000
10.900000,327,0,1000000
10.933333,328,0,1000000
10.966667,329,0,1000000
11.000000,330,0,1000000
11.033333,331,0,1000000
11.066667,332,0,1000000
11.100000,333,0,1000000
11.133333,334,0,1000000
11.166667,335,0,1000000
11.200000,336,0,1000000
11.233333,337,0,1000000
11.266667,338,0,1000000
11.300000,339,0,1000000
11.333333,340,0,1000000
11.366667,341,0,1000000
11.400000,342,0,1000000
11.433333,343,0,1000000
11.466667,344,0,1000000
11.500000,345,0,1000000
11.533333,346,0,1000000
11.566667,347,0,1000000
11.600000,348,0,1000000
11.633333,349,0,1000000
11.666667,350,0,1000000
11.700000,351,0,1000000
11.733333,352,0,1000000
11.766667,353,0,1000000
11.800000,354,0,1000000
11.833333,355,0,1000000
11.866667,356,0,1000000
11.900000,357,0,1000000
11.933333,358,0,1000000
11.966667,359,0,1000000
12.000000,360,0,1000000
12.033333,361,0,1000000
12.066667,362,0,1000000
12.100000,363,0,1000000
12.133333,364,0,1000000
12.166667,365,0,1000000
12.200000,366,0,1000000
12.233333,367,0,1000000
12.266667,368,0,1000000
12.300000,369,0,1000000
12.333333,370,0,1000000
12.366667,371,0,1000000
12.400000,372,0,1000000
12.433333,373,0,1000000
12.466667,374,0,1000000
12.500000,375,0,1000000
12.533333,376,0,1000000
12.566667,377,0,1000000
12.600000,378,0,1000000
12.633333,379,0,1000000
12.666667,380,0,1000000
12.700000,381,0,1000000
12.733333,382,0,1000000
12.766667,383,0,1000000
12.800000,384,0,1000000
12.833333,385,0,1000000
12.866667,386,0,1000000
12.900000,387,0,1000000
12.933333,388,0,1000000
12.966667,389,0,1000000
13.000000,390,0,1000000
13.033333,391,0,1000000
13.066667,392,0,1000000
13.100000,393,0,1000000
13.133333,394,0,1000000
13.166667,395,0,1000000
13.200000,396,0,1000000
13.233333,397,0,1000000
13.266667,398,0,1000000
13.300000,399,0,1000000
13.333333,400,0,1000000
13.366667,401,0,1000000
13.400000,402,0,1000000
13.433333,403,0,1000000
13.466667,404,0,1000000
13.500000,405,0,1000000
13.533333,406,0,1000000
13.566667,407,0,1000000
13.600000,408,0,1000000
13.633333,409,0,1000000
13.666667,410,0,1000000
