table,scene,domain,agents,method,time_s,mean_soc,mean_wait_steps
I,Forest,2D,100,GuardPIBT,6.24,18.93,
I,Forest,2D,100,LaCAM,0.02,24.58,
I,Forest,2D,100,PyPIBT,0.28,24.36,
I,Forest,2D,100,LaGAT,8.12,20.78,
I,Forest,2D,1000,GuardPIBT,14.31,63.68,
I,Forest,2D,1000,LaCAM,0.49,91.96,
I,Forest,2D,1000,PyPIBT,,,
I,Forest,2D,1000,LaGAT,10.75,72.74,
I,Forest,2D,10000,GuardPIBT,172.41,241.33,
I,Forest,2D,10000,LaCAM,,,
I,Forest,2D,10000,PyPIBT,,,
I,Forest,2D,10000,LaGAT,386.4,249.77,
I,Maze,2D,100,GuardPIBT,6.24,26.82,
I,Maze,2D,100,LaCAM,0.02,36.98,
I,Maze,2D,100,PyPIBT,0.28,35.44,
I,Maze,2D,100,LaGAT,8.05,28.39,
I,Maze,2D,1000,GuardPIBT,16.36,275.61,
I,Maze,2D,1000,LaCAM,0.57,289.9,
I,Maze,2D,1000,PyPIBT,178.17,374.69,
I,Maze,2D,1000,LaGAT,54.21,224.24,
I,Maze,2D,10000,GuardPIBT,113.53,2051.33,
I,Maze,2D,10000,LaCAM,174.89,2910.9,
I,Maze,2D,10000,PyPIBT,,,
I,Maze,2D,10000,LaGAT,,,
I,Warehouse,2D,100,GuardPIBT,6.61,22.06,
I,Warehouse,2D,100,LaCAM,0.02,28.47,
I,Warehouse,2D,100,PyPIBT,0.29,29.18,
I,Warehouse,2D,100,LaGAT,8.04,23.75,
I,Warehouse,2D,1000,GuardPIBT,8.96,70.72,
I,Warehouse,2D,1000,LaCAM,0.38,99.58,
I,Warehouse,2D,1000,PyPIBT,12.378,99.67,
I,Warehouse,2D,1000,LaGAT,10.269,77.38,
I,Warehouse,2D,10000,GuardPIBT,168.936,315.67,
I,Warehouse,2D,10000,LaCAM,39.64,394.87,
I,Warehouse,2D,10000,PyPIBT,888.188,394.93,
I,Warehouse,2D,10000,LaGAT,257.24,288.04,
II,Forest,2D,100000,GuardPIBT,1104.83,2573.77,
II,Maze,2D,100000,GuardPIBT,5208.15,16558.92,
II,Warehouse,2D,100000,GuardPIBT,1163.11,2228.62,
II,Gate Walls,3D,100000,GuardPIBT,194.61,659.31,
II,Warehouse,3D,100000,GuardPIBT,908.61,1041.83,
III,Warehouse,3D,10000,GuardPIBT,256.1,3739.17,2192.83
III,Warehouse,3D,10000,W/o global flow,251.45,4089.5,2521.93
III,Warehouse,3D,10000,W/o CF gate,250.34,3772.39,2205.99
